"","year.centroids","longlat","species","year","long1","lat1","r.sq","Asym","xmid","scal","ad.LL","ad.UL","ad.CI","grid.ID","temp.at.pts","tmin"
"6",19918743,-8842,"Vireo olivaceus",1991,-88,42,0.854591204,4.424332665,134.9016573,3.98528047,120,150,30,134,-117.8061224,-1.178061224
"17",19948533,-8632,"Vireo olivaceus",1994,-86,32,0.12138184,1.22386852,100.6135107,0.023281355,100,101,1,126,625.7381366,6.257381366
"28",19968533,-8632,"Vireo olivaceus",1996,-86,32,0.126265748,2.140265508,101.1731629,0.006970018,101,102,1,126,392.0617766,3.920617766
"49",19977739,-7838,"Vireo olivaceus",1997,-78,38,0.169276197,-0.709825281,119.8978247,3.800059653,105,134,29,71,166.5279225,1.665279225
"50",19978343,-8442,"Vireo olivaceus",1997,-84,42,0.613435602,-0.076434028,143.0377043,0.795321475,140,146,6,108,-327.4540682,-3.274540682
"72",19987739,-7838,"Vireo olivaceus",1998,-78,38,0.243162571,-0.927226612,121.5113873,1.112241003,117,126,9,71,287.816985,2.87816985
"73",19988533,-8632,"Vireo olivaceus",1998,-86,32,0.148278113,1.940669942,101.8612645,1.853825772,95,109,14,126,537.4308449,5.374308449
"105",19997739,-7838,"Vireo olivaceus",1999,-78,38,0.329140607,-0.524387045,121.426759,4.062998115,106,137,31,71,84.78110532,0.847811053
"106",19998943,-9042,"Vireo olivaceus",1999,-90,42,0.245656035,-1.275044819,130.394435,3.371552987,118,143,25,147,-217.599103,-2.17599103
"151",20007539,-7638,"Vireo olivaceus",2000,-76,38,0.174693118,-1.008101764,123.400274,2.121504732,115,132,17,58,220.7909749,2.207909749
"152",20007739,-7838,"Vireo olivaceus",2000,-78,38,0.230869311,-1.151250542,115.3968382,3.508689265,102,129,27,71,210.1122685,2.101122685
"153",20008533,-8632,"Vireo olivaceus",2000,-86,32,0.120641779,1.716981596,100.6346647,0.588569669,98,103,5,126,505.1260127,5.051260127
"154",20008943,-9042,"Vireo olivaceus",2000,-90,42,0.272767669,-1.654100353,122.4468321,1.56190525,116,129,13,147,-227.7945602,-2.277945602
"221",20017341,-7440,"Vireo olivaceus",2001,-74,40,0.155274254,-1.191514619,119.7432276,1.850244411,112,127,15,44,-144.9398088,-1.449398088
"222",20017739,-7838,"Vireo olivaceus",2001,-78,38,0.282939005,-0.664907491,117.6592908,4.284911585,101,134,33,71,104.9071181,1.049071181
"223",20017939,-8038,"Vireo olivaceus",2001,-80,38,0.22724818,-0.071573802,118.997747,0.029904619,118,120,2,84,-122.7879051,-1.227879051
"224",20018343,-8442,"Vireo olivaceus",2001,-84,42,0.276153888,-1.275078531,119.6452394,0.015302141,119,120,1,108,-317.3842957,-3.173842957
"225",20018533,-8632,"Vireo olivaceus",2001,-86,32,0.222754462,2.813861578,98.12687291,0.006686693,98,99,1,126,576.6775174,5.766775174
"226",20018743,-8842,"Vireo olivaceus",2001,-88,42,0.236024273,-0.984063904,119.5953332,0.011674099,119,120,1,134,-296.5501701,-2.965501701
