"","year","lat","long","D1","D2","D3","D4_arrival","D5","D6","D7"
"1",1991,-88,42,NA,NA,NA,NA,NA,NA,NA
"2",1994,-86,32,NA,NA,NA,NA,NA,NA,NA
"3",1996,-86,32,NA,NA,NA,NA,NA,NA,NA
"4",1997,-78,38,NA,NA,NA,NA,NA,NA,NA
"5",1997,-84,42,NA,NA,NA,NA,NA,NA,NA
"6",1998,-78,38,NA,NA,NA,NA,NA,NA,NA
"7",1998,-86,32,NA,NA,NA,NA,NA,NA,NA
"8",1999,-78,38,NA,NA,NA,NA,NA,NA,NA
"9",1999,-90,42,NA,NA,NA,NA,NA,NA,NA
"10",2000,-76,38,NA,NA,NA,NA,NA,NA,NA
"11",2000,-78,38,NA,NA,NA,NA,NA,NA,NA
"12",2000,-86,32,NA,NA,NA,NA,NA,NA,NA
"13",2000,-90,42,NA,NA,NA,NA,NA,NA,NA
"14",2001,-74,40,NA,NA,NA,NA,NA,NA,NA
"15",2001,-78,38,NA,NA,NA,NA,NA,NA,NA
"16",2001,-80,38,NA,NA,NA,NA,NA,NA,NA
"17",2001,-84,42,NA,NA,NA,NA,NA,NA,NA
"18",2001,-86,32,NA,NA,NA,NA,NA,NA,NA
"19",2001,-88,42,NA,NA,NA,NA,NA,NA,NA
"20",2001,-90,42,NA,NA,NA,NA,NA,NA,NA
"21",2002,-76,38,NA,NA,NA,NA,NA,NA,NA
"22",2002,-78,42,NA,NA,NA,NA,NA,NA,NA
"23",2002,-78,38,NA,NA,NA,NA,NA,NA,NA
"24",2002,-80,38,NA,NA,NA,NA,NA,NA,NA
"25",2002,-84,40,NA,NA,NA,NA,NA,NA,NA
"26",2002,-88,40,NA,NA,NA,NA,NA,NA,NA
"27",2002,-90,42,NA,NA,NA,NA,NA,NA,NA
"28",2002,-90,40,NA,NA,NA,NA,NA,NA,NA
"29",2003,-74,42,NA,NA,NA,NA,NA,NA,NA
"30",2003,-74,40,NA,NA,NA,NA,NA,NA,NA
"31",2003,-76,40,NA,NA,NA,NA,NA,NA,NA
"32",2003,-76,38,NA,NA,NA,NA,NA,NA,NA
"33",2003,-78,42,NA,NA,NA,NA,NA,NA,NA
"34",2003,-78,38,NA,NA,NA,NA,NA,NA,NA
"35",2003,-84,42,NA,NA,NA,NA,NA,NA,NA
